Date,Solar Radiation (W/m²),Temperature (°C),Wind Speed (m/s),Humidity (% RH),Surface Temperature (°C)
20010412,21.99,30.6,3.61,21.19,32.87
20010413,23.55,30.74,2.41,16.03,32.66
20010414,20.13,30.05,2.79,21.08,32.67
20010415,23.64,30.7,1.84,23.59,34.44
20010416,16.81,31.87,1.32,24.78,33.73
20010417,25.67,29.58,3.33,31.71,31.64
20010418,24.1,29.19,2.93,30.93,31.36
20010419,21.83,27.76,5.01,36.55,29.43
20010420,24.71,27.34,2.28,37.72,30.69
20010421,27.17,31.24,3.22,20.99,32.01
20010422,26.57,31.82,4.29,16.94,33.15
20010423,27.65,33.08,4.6,14.87,35.11
20010424,26.36,33.37,4.49,16.04,34.8
20010425,26.34,34.77,1.57,15.42,37.71
20010426,24.42,35.06,4.68,16.8,36.19
20010427,26.48,35.17,5.79,14.12,37.08
20010428,26.96,35.51,5.77,20.74,37.71
20010429,24.9,35.33,5.14,30.31,38.06
20010430,25.09,36.64,5.13,26.62,39.95
20010501,26.91,36.36,6.5,20.53,38.31
20010502,26.97,36.73,3.95,21.17,39.57
20010503,26.58,37.14,3.07,15.36,40.04
20010504,26.94,37.51,2.99,13.99,39.45
20010505,27.94,38.23,5.51,16.09,40.29
20010506,26.26,38.21,6.73,20.43,40.29
20010507,25.64,37.37,8.7,24.43,39.5
20010508,25.11,36.36,7.38,30.05,39.09
20010509,23.93,36.09,5.55,31.53,39.26
20010510,26.24,37.05,6.79,22.28,39.01
20010511,27.25,36.93,8.9,27.75,38.7
20010512,27.28,36.87,7.37,24.14,38.84
20010513,27.65,36.6,6.78,23.71,38.81
20010514,27.01,34.85,7.1,32.99,37.47
20010515,25.18,35.05,4.57,37.49,38.63
20010516,24.84,35.19,5.26,38.37,38.17
20010517,25.91,35.13,6.46,34.95,37.94
20010518,25.12,32.88,5.37,44.57,35.61
20010519,25.54,33.87,4.64,41.08,37.03
20010520,23.7,30.87,5.55,56.89,31.59
20010521,22.6,32.64,5.28,48.79,34.38
20010522,25.09,33.89,3.89,43.3,36.68
20010523,25.96,35.97,4.74,31.84,38.47
20010524,24.72,37.61,7.27,24.53,39.37
20010525,26.2,36.09,8.99,28.68,37.79
20010526,27.13,36.55,6.49,32.97,39.17
20010527,27.89,37.16,6.78,32.17,40.26
20010528,27.64,37.11,6.45,33.61,40.27
20010529,27.0,36.27,5.51,35.24,40.14
20010530,27.56,36.38,5.13,40.47,40.68
20010531,26.85,36.8,6.99,38.21,40.23
20010601,26.03,36.25,8.4,35.66,38.9
20010602,25.88,35.81,7.3,36.21,38.93
20010603,24.82,36.14,7.4,34.43,38.91
20010604,22.97,36.18,7.36,34.95,39.18
20010605,18.84,35.1,6.32,38.51,38.38
20010606,20.83,35.77,5.53,35.76,39.25
20010607,19.07,35.93,5.06,32.43,39.15
20010608,22.16,36.39,3.87,25.44,40.04
20010609,24.27,37.16,5.13,24.24,40.29
20010610,25.12,37.63,4.13,26.89,41.72
20010611,26.19,38.33,2.1,21.98,43.02
20010612,23.91,39.29,1.76,19.15,43.5
20010613,24.54,36.85,5.62,38.5,40.92
20010614,22.34,35.5,4.08,43.55,39.58
20010615,23.61,36.07,2.1,41.62,40.37
20010616,23.69,33.67,4.13,50.01,35.39
20010617,22.9,34.47,5.02,46.95,36.75
20010618,26.04,34.81,2.71,45.94,39.41
20010619,26.21,36.81,5.43,37.49,40.2
20010620,24.67,36.6,9.3,38.7,39.43
20010621,22.84,35.43,9.0,41.26,38.2
20010622,24.75,35.36,8.18,41.16,38.34
20010623,24.14,35.27,6.99,40.66,38.68
20010624,22.37,35.82,3.84,36.35,39.92
20010625,25.44,36.52,5.24,34.41,40.11
20010626,27.02,36.78,6.47,35.85,40.29
20010627,26.81,36.29,5.88,36.36,40.07
20010628,26.08,36.16,6.18,37.6,39.81
20010629,24.59,35.79,5.96,40.02,39.94
20010630,25.14,35.89,5.23,40.07,40.32
20010701,20.63,34.66,4.95,44.94,38.56
20010702,22.19,34.36,5.23,46.77,37.13
20010703,22.37,32.37,3.82,62.69,34.1
20010704,19.68,30.98,4.07,71.63,31.77
20010705,24.72,34.52,3.95,51.66,36.95
20010706,26.78,34.6,4.21,52.35,37.93
20010707,26.18,35.61,4.25,48.52,39.62
20010708,19.49,33.06,3.22,60.59,35.14
20010709,20.44,33.31,2.78,57.81,35.43
20010710,23.37,33.72,3.58,57.16,35.21
20010711,23.78,33.55,5.15,57.76,35.49
20010712,21.49,32.0,4.82,60.39,35.11
20010713,20.09,31.46,6.96,56.67,34.03
20010714,23.98,32.4,8.83,55.48,34.81
20010715,21.25,32.74,10.5,56.6,35.03
20010716,14.93,32.58,9.44,55.11,34.81
20010717,20.94,32.89,5.56,53.77,36.51
20010718,21.3,34.01,3.59,48.66,38.81
20010719,25.78,35.17,4.77,44.03,38.82
20010720,23.3,34.8,6.64,46.56,37.49
20010721,17.56,33.82,6.77,49.01,36.22
20010722,23.24,33.82,5.91,51.75,37.21
20010723,17.31,34.15,3.19,50.34,37.96
20010724,20.37,34.01,3.3,53.58,36.84
20010725,21.24,30.77,3.31,72.59,32.49
20010726,21.8,31.0,4.07,66.28,33.64
20010727,23.32,32.46,4.57,56.73,34.75
20010728,24.63,33.17,6.71,52.66,35.8
20010729,20.59,32.17,7.63,52.4,34.43
20010730,15.57,31.37,4.39,53.22,34.43
20010731,19.02,32.72,3.42,48.07,36.1
20010801,21.83,33.24,5.62,45.12,35.99
20010802,23.42,32.24,5.58,47.29,34.97
20010803,23.38,32.87,4.31,46.46,36.21
20010804,21.88,34.89,2.68,38.55,38.13
20010805,17.39,34.93,3.1,43.61,36.65
20010806,15.15,33.14,3.29,53.42,35.63
20010807,19.31,33.56,3.87,51.85,36.57
20010808,20.5,33.23,2.92,53.52,36.04
20010809,19.68,33.06,2.36,54.21,35.85
20010810,15.82,32.14,1.81,60.25,33.32
20010811,22.69,31.11,1.74,71.57,31.72
20010812,22.87,31.52,2.46,69.42,32.52
20010813,25.4,32.44,4.73,61.21,34.33
20010814,24.64,32.87,6.46,57.51,34.7
20010815,24.41,32.81,3.94,55.54,35.82
20010816,18.25,32.73,3.74,53.75,35.58
20010817,23.94,33.14,4.95,48.22,35.82
20010818,24.59,32.39,5.67,45.32,34.59
20010819,24.68,32.23,5.45,48.73,34.66
20010820,24.09,32.61,4.28,49.65,35.63
20010821,23.76,33.27,3.91,44.94,36.28
20010822,24.14,33.47,5.63,45.29,35.88
20010823,24.07,32.49,4.93,48.66,35.27
20010824,24.25,32.79,4.35,46.41,35.57
20010825,24.86,33.01,5.15,44.79,35.65
20010826,24.64,32.01,5.99,43.13,34.24
20010827,24.57,31.41,7.12,46.44,33.3
20010828,24.37,31.75,7.39,47.48,33.49
20010829,24.39,31.63,7.77,49.66,33.39
20010830,22.85,31.18,5.56,51.18,33.64
20010831,22.17,31.82,5.08,50.61,34.37
20010901,22.85,32.65,3.63,46.72,35.58
20010902,21.84,33.26,4.32,43.33,35.79
20010903,22.9,32.85,5.47,43.9,35.01
20010904,18.97,32.04,5.11,47.22,34.33
20010905,21.38,31.57,4.45,49.77,34.06
20010906,19.58,31.89,3.83,48.46,34.59
20010907,21.65,32.8,3.56,42.45,35.45
20010908,22.57,33.12,3.39,38.82,35.85
20010909,23.39,33.48,4.72,37.72,35.53
20010910,23.16,32.25,6.19,41.03,33.96
20010911,22.7,31.78,5.78,42.59,33.77
20010912,23.07,31.58,4.83,44.69,33.67
20010913,22.84,32.02,3.38,42.06,34.69
20010914,22.75,31.93,3.52,42.44,34.41
20010915,18.96,32.67,1.65,39.53,35.89
20010916,20.93,33.16,2.35,32.57,34.96
20010917,22.49,32.85,3.03,27.16,34.23
20010918,22.27,32.19,4.41,27.93,33.46
20010919,23.11,31.85,4.56,33.5,33.51
20010920,22.16,31.33,4.85,34.82,32.96
20010921,22.79,32.15,2.59,30.92,33.79
20010922,21.73,33.46,1.45,23.5,34.29
20010923,21.63,33.96,1.34,19.71,33.86
20010924,22.17,33.95,1.28,16.36,34.25
20010925,22.04,33.81,1.74,15.74,34.07
20010926,21.81,34.24,1.53,14.15,34.46
20010927,22.56,34.65,1.43,12.12,33.69
20010928,22.35,33.65,2.27,11.65,33.6
20010929,22.27,32.91,2.84,11.86,32.97
20010930,21.66,32.11,2.95,13.73,32.4
20011001,20.39,31.54,4.27,43.41,33.08
20011002,20.75,29.64,4.4,56.58,31.39
20011003,20.61,31.43,2.86,36.15,33.15
20011004,20.64,31.82,2.45,35.77,33.64
20011005,19.61,32.55,1.69,23.87,33.56
20011006,18.84,31.97,2.29,21.46,32.98
20011007,18.95,32.01,2.23,19.25,32.74
20011008,20.33,32.38,2.16,15.4,32.07
20011009,21.06,32.36,1.81,13.19,31.8
20011010,19.7,31.68,2.69,16.9,31.16
20011011,19.52,30.94,4.16,33.85,31.83
20011012,18.82,31.06,2.8,44.84,33.13
20011013,18.58,28.73,2.54,20.07,29.12
20011014,17.45,29.37,1.78,14.06,28.12
20011015,17.64,29.12,1.88,14.87,28.25
20011016,17.69,28.29,2.16,14.35,28.19
20011017,19.6,28.59,2.06,11.27,27.81
20011018,19.92,28.41,3.19,11.42,27.54
20011019,19.54,29.33,2.3,12.05,27.98
20011020,19.61,28.95,2.15,14.47,28.06
20011021,19.4,28.32,2.32,16.24,27.85
20011022,19.22,28.73,1.91,16.23,28.48
20011023,18.98,30.05,1.71,13.36,28.42
20011024,19.31,29.68,2.77,14.27,28.03
20011025,18.82,28.96,3.59,16.07,28.31
20011026,18.8,29.58,1.87,13.33,28.08
20011027,18.19,29.35,2.08,13.37,28.7
20011028,17.02,27.9,3.02,16.78,28.26
20011029,17.34,28.09,2.64,18.03,28.35
20011030,17.19,28.17,2.74,17.94,28.06
20011031,16.93,29.38,2.17,16.01,28.08
20011101,17.79,28.88,3.57,17.57,28.46
20011102,17.62,28.37,5.18,21.14,28.16
20011103,16.99,26.21,4.09,26.43,26.14
20011104,17.45,24.5,2.12,14.09,24.11
20011105,17.09,22.65,2.76,15.75,23.41
20011106,15.82,22.59,3.38,15.27,22.91
20011107,16.35,21.81,3.85,18.61,21.94
20011108,17.29,21.73,3.0,17.92,21.29
20011109,17.34,22.83,1.98,17.23,21.66
20011110,17.02,23.18,2.35,15.97,22.55
20011111,17.49,22.83,2.66,16.8,22.8
20011112,16.85,22.38,3.04,17.59,22.24
20011113,16.71,23.81,1.63,14.51,22.04
20011114,17.13,24.84,1.79,12.98,21.76
20011115,17.59,24.05,2.06,13.28,21.88
20011116,17.11,22.53,2.82,15.82,22.28
20011117,16.43,22.05,2.96,18.94,21.6
20011118,16.17,22.92,2.01,18.62,21.45
20011119,16.18,23.53,1.97,16.58,21.46
20011120,15.3,23.83,2.62,19.23,22.79
20011121,15.22,23.26,2.92,19.79,23.81
20011122,15.75,22.27,3.17,19.21,22.43
20011123,15.7,22.3,2.08,18.53,21.34
20011124,16.39,22.62,2.33,16.72,20.56
20011125,16.55,21.07,2.58,17.15,20.78
20011126,15.98,20.4,2.28,18.99,20.13
20011127,16.0,20.06,2.94,22.11,19.88
20011128,15.75,20.75,1.86,20.0,19.55
20011129,15.71,20.64,2.24,18.21,19.2
20011130,15.46,19.7,2.62,18.92,19.21
20011201,15.61,20.67,2.14,15.92,18.32
20011202,15.35,20.75,2.03,14.48,18.59
20011203,15.19,20.88,2.62,16.4,19.05
20011204,15.15,21.85,2.09,18.53,19.83
20011205,14.59,20.55,2.29,23.77,19.99
20011206,14.75,21.55,2.14,24.36,20.42
20011207,13.38,22.87,2.2,22.43,20.59
20011208,13.75,22.2,2.9,25.18,20.73
20011209,14.12,22.66,2.45,27.6,21.0
20011210,14.14,22.32,1.77,26.19,21.1
20011211,14.4,20.42,2.45,24.88,19.54
20011212,11.68,17.34,3.39,29.79,17.45
20011213,14.04,18.73,1.41,23.04,17.33
20011214,10.55,20.18,1.56,17.81,18.46
20011215,13.04,18.36,2.37,27.01,18.21
20011216,12.87,16.92,3.23,27.96,17.53
20011217,13.22,17.43,2.9,37.0,17.88
20011218,12.81,18.47,2.53,37.19,18.65
20011219,14.31,18.33,2.6,31.83,17.7
20011220,15.32,17.35,1.99,26.25,16.14
20011221,15.44,16.18,2.3,24.67,15.25
20011222,15.62,15.58,2.77,22.43,15.11
20011223,14.87,15.1,2.62,20.72,14.95
20011224,14.27,14.93,2.79,22.41,15.01
20011225,12.13,16.55,2.63,20.9,16.45
20011226,13.39,16.69,2.92,21.34,16.12
20011227,13.15,16.12,3.14,28.47,15.71
20011228,13.01,16.82,2.4,27.75,15.92
20011229,13.45,16.38,2.73,25.91,16.05
20011230,14.32,16.43,2.98,22.94,16.07
20011231,15.05,17.39,2.14,19.49,16.17
20020101,15.08,17.29,2.79,17.8,16.27
20020102,15.13,16.84,2.99,18.89,16.41
20020103,13.47,16.35,2.78,23.48,15.48
20020104,13.71,16.07,3.04,27.42,16.04
20020105,13.55,15.25,3.45,30.99,15.35
20020106,13.71,14.77,2.88,28.75,14.44
20020107,12.59,14.07,3.12,29.62,13.48
20020108,12.17,13.3,3.11,34.21,13.01
20020109,13.79,14.59,3.0,30.59,14.28
20020110,14.52,16.54,2.66,22.96,15.95
20020111,15.01,17.89,2.17,18.62,16.97
20020112,15.23,20.82,2.38,17.21,18.68
20020113,14.11,20.24,4.05,26.84,19.44
20020114,14.19,20.53,3.2,62.05,21.04
20020115,15.49,18.65,3.17,24.86,18.16
20020116,15.66,15.78,1.63,14.52,14.28
20020117,11.47,13.21,2.95,21.8,12.66
20020118,16.36,13.33,2.63,22.15,12.61
20020119,16.03,13.76,1.59,19.14,12.13
20020120,16.21,14.04,1.91,23.28,12.24
20020121,16.3,14.89,1.46,30.78,13.3
20020122,16.0,14.89,1.58,28.12,13.51
20020123,16.02,16.09,1.1,21.71,14.34
20020124,15.35,17.1,3.41,31.24,16.65
20020125,16.12,17.32,2.56,42.77,18.11
20020126,16.42,15.65,1.96,24.03,16.14
20020127,16.79,15.69,1.86,21.63,14.51
20020128,17.73,15.33,2.19,20.18,14.24
20020129,17.51,15.16,2.94,18.77,14.56
20020130,17.68,15.05,2.12,17.93,14.62
20020131,17.14,15.33,2.91,15.91,14.6
20020201,17.02,17.27,2.15,17.4,16.73
20020202,17.03,17.71,3.44,20.69,16.48
20020203,19.17,14.08,3.25,14.01,13.49
20020204,18.95,15.59,2.22,14.69,14.79
20020205,17.93,16.62,2.88,11.04,16.08
20020206,18.15,16.14,3.3,14.07,15.74
20020207,18.98,12.62,5.19,10.84,12.98
20020208,18.86,11.47,3.05,8.64,12.07
20020209,18.61,12.37,3.69,13.66,12.37
20020210,18.84,11.38,4.22,24.11,12.13
20020211,18.8,13.03,3.01,18.84,12.97
20020212,18.74,15.47,2.65,14.5,15.62
20020213,19.14,15.28,3.66,43.95,16.05
20020214,18.48,17.67,2.12,28.36,18.1
20020215,19.32,20.0,2.09,19.8,19.91
20020216,19.46,21.02,2.03,17.33,20.82
20020217,19.47,23.14,1.45,14.23,21.92
20020218,19.38,21.83,2.45,16.74,22.3
20020219,19.04,20.17,2.92,21.09,20.62
20020220,18.67,23.33,2.17,17.37,22.24
20020221,18.19,23.62,4.02,26.17,24.32
20020222,11.73,21.68,4.22,47.22,22.17
20020223,19.56,22.89,2.47,47.16,24.68
20020224,19.2,20.95,3.47,40.36,23.07
20020225,20.3,20.28,2.18,27.28,22.2
20020226,14.86,22.25,3.54,19.41,22.84
20020227,19.35,20.51,3.73,29.48,22.0
20020228,19.1,23.88,1.81,26.42,24.57
20020301,18.35,24.52,4.6,35.21,26.1
20020302,21.11,19.78,4.21,43.7,21.37
20020303,23.2,20.67,2.38,16.65,20.46
20020304,21.69,22.84,1.48,13.17,22.15
20020305,22.96,23.56,1.84,12.93,22.94
20020306,23.18,23.64,1.99,12.21,24.36
20020307,20.69,24.72,2.89,13.22,24.59
20020308,20.88,24.96,2.54,29.78,26.53
20020309,19.86,24.0,3.45,26.66,25.38
20020310,21.75,22.22,3.31,33.9,24.4
20020311,20.79,23.61,2.79,21.1,25.2
20020312,21.99,25.57,2.4,19.7,26.17
20020313,22.74,25.53,2.1,19.98,26.85
20020314,24.46,26.03,1.67,12.61,26.18
20020315,23.87,26.42,1.64,9.05,26.28
20020316,24.13,27.06,2.84,9.56,26.44
20020317,24.21,27.96,2.69,11.04,27.58
20020318,24.71,29.53,1.34,10.0,28.94
20020319,22.44,30.4,1.65,11.98,30.61
20020320,16.42,28.37,3.13,19.33,28.88
20020321,23.01,28.24,3.57,23.66,29.45
20020322,23.28,28.54,2.13,18.59,28.99
20020323,23.06,29.56,3.59,18.86,30.26
20020324,24.29,28.97,5.52,25.72,30.31
20020325,25.64,25.45,4.73,16.45,27.21
20020326,25.87,25.32,3.42,12.08,26.81
20020327,26.31,27.77,2.0,9.39,27.63
20020328,26.22,29.39,1.0,7.84,29.02
20020329,25.8,29.92,2.77,8.41,29.78
20020330,25.39,30.6,4.06,12.18,31.91
20020331,24.28,31.83,4.28,16.23,33.43
20020401,25.52,31.39,3.62,12.03,32.04
20020402,26.06,27.95,3.98,8.16,29.48
20020403,25.57,29.58,2.3,9.47,30.73
20020404,25.79,30.58,4.27,9.69,31.64
20020405,22.27,32.65,4.94,17.26,33.85
20020406,22.48,30.78,3.81,21.91,31.74
20020407,21.63,29.74,2.51,22.91,32.05
20020408,22.97,28.66,2.69,25.02,31.97
20020409,26.35,29.38,2.39,19.74,31.88
20020410,26.99,31.23,2.59,13.18,31.3
20020411,27.25,30.56,4.25,16.03,31.76
20020412,26.51,31.75,3.72,14.1,33.53
20020413,23.59,32.01,3.73,19.73,34.36
20020414,25.2,31.56,5.06,21.88,33.62
20020415,24.9,31.67,6.08,23.36,33.51
20020416,20.99,30.81,3.7,19.36,33.14
20020417,21.73,31.19,2.79,19.91,32.56
20020418,24.91,32.21,2.12,21.74,35.75
20020419,26.23,34.2,2.72,15.53,36.53
20020420,27.33,33.49,4.41,16.0,35.87
20020421,26.97,33.92,3.09,18.18,36.95
20020422,27.57,34.4,5.17,18.92,36.44
20020423,22.86,34.86,6.15,20.44,36.72
20020424,25.16,33.43,5.05,17.2,35.66
20020425,29.55,32.09,4.63,4.91,32.61
20020426,27.87,32.05,2.53,5.41,32.65
20020427,27.01,34.36,4.47,7.3,34.77
20020428,25.28,34.21,4.78,8.04,35.15
20020429,27.09,32.98,2.75,6.58,35.34
20020430,26.24,36.06,4.1,8.44,36.58
20020501,26.74,34.53,2.91,16.14,37.0
20020502,25.28,35.93,2.66,10.96,38.11
20020503,26.15,36.43,2.42,10.08,39.09
20020504,26.84,38.55,1.7,9.85,40.41
20020505,27.5,37.82,4.42,10.49,39.32
20020506,29.1,36.23,4.78,10.02,38.28
20020507,27.41,35.92,4.54,13.14,38.56
20020508,27.27,35.36,5.36,18.11,38.14
20020509,24.51,35.94,7.82,26.65,37.93
20020510,26.77,36.1,6.59,30.92,38.51
20020511,27.92,37.2,6.31,21.88,39.31
20020512,27.19,36.77,7.84,35.35,38.9
20020513,26.02,36.93,7.61,35.37,39.45
20020514,25.07,36.5,7.77,35.79,38.9
20020515,25.04,36.63,5.14,35.35,40.15
20020516,20.61,38.33,3.04,25.69,42.03
20020517,25.16,39.29,3.64,14.64,41.91
20020518,27.52,37.49,8.12,10.62,38.55
20020519,23.84,35.33,8.81,19.78,36.86
20020520,29.67,34.25,5.74,6.94,35.23
20020521,29.13,34.97,5.0,5.33,35.75
20020522,27.59,36.46,5.68,16.9,37.91
20020523,25.13,36.67,6.68,29.81,39.06
20020524,26.47,37.3,6.32,25.48,39.97
20020525,24.22,36.58,8.24,30.56,38.79
20020526,24.32,35.66,7.08,35.51,38.49
20020527,24.2,36.02,8.95,36.9,38.43
20020528,24.16,35.45,6.29,35.99,38.79
20020529,24.05,35.67,4.08,36.31,39.35
20020530,26.09,37.86,1.72,21.86,41.8
20020531,26.6,33.86,2.51,43.19,34.98
20020601,22.07,35.11,3.91,29.55,37.15
20020602,25.74,36.31,3.49,24.81,39.13
20020603,24.74,37.12,3.29,25.65,40.09
20020604,26.48,36.97,5.34,27.57,39.55
20020605,26.63,36.66,5.8,27.42,39.06
20020606,25.89,36.95,6.08,29.97,39.59
20020607,25.59,36.4,6.77,33.04,39.28
20020608,26.38,36.6,6.62,31.04,39.49
20020609,26.63,36.94,7.69,27.49,39.09
20020610,27.36,37.24,6.19,26.18,39.79
20020611,27.79,37.94,4.78,21.44,40.76
20020612,27.27,38.59,4.14,18.96,41.48
20020613,26.82,38.58,4.76,20.2,41.44
20020614,26.14,38.0,5.23,24.6,41.09
20020615,27.15,38.48,5.32,28.34,42.0
20020616,28.05,38.54,3.41,29.47,43.59
20020617,27.39,38.41,5.18,33.1,42.65
20020618,26.01,37.55,4.74,36.48,42.3
20020619,26.23,37.22,5.38,38.04,41.66
20020620,26.23,38.63,4.85,33.07,42.78
20020621,26.78,38.24,5.95,27.95,41.73
20020622,25.87,38.17,6.01,29.13,41.37
20020623,26.36,38.65,7.26,27.67,41.39
20020624,25.92,38.64,5.17,26.94,41.97
20020625,23.89,39.54,3.35,25.2,43.78
20020626,22.82,40.08,4.67,27.81,44.31
20020627,22.96,39.11,4.73,31.21,42.83
20020628,26.0,39.08,3.27,31.69,43.41
20020629,24.37,39.14,2.62,32.02,43.07
20020630,24.57,38.86,4.11,32.22,42.66
20020701,24.11,38.06,7.39,33.35,40.91
20020702,25.28,38.35,7.21,33.93,41.42
20020703,23.88,37.46,7.74,37.53,40.48
20020704,21.64,37.05,6.77,38.57,40.46
20020705,20.35,36.88,6.73,35.21,40.06
20020706,18.63,36.66,6.77,33.68,39.62
20020707,21.34,36.32,6.12,35.06,39.67
20020708,22.41,36.23,6.45,34.81,39.41
20020709,23.27,35.51,7.43,38.29,38.88
20020710,23.71,35.81,5.93,34.63,39.06
20020711,25.27,36.35,4.88,32.15,39.8
20020712,24.84,36.39,5.88,32.77,39.45
20020713,26.1,36.16,4.98,33.31,39.82
20020714,24.71,35.75,6.06,34.14,38.72
20020715,24.65,35.87,5.67,34.28,39.26
20020716,27.0,36.21,5.36,35.54,39.75
20020717,25.49,36.47,5.06,33.64,40.05
20020718,26.27,37.59,3.24,30.09,42.33
20020719,25.89,39.01,4.28,28.09,43.21
20020720,24.38,37.37,8.59,34.48,40.26
20020721,22.79,35.53,7.78,38.81,38.86
20020722,17.99,34.91,7.85,41.04,38.09
20020723,14.59,34.47,6.74,41.05,37.85
20020724,17.5,34.46,7.86,39.93,37.35
20020725,20.64,34.56,7.65,42.74,37.63
20020726,21.11,34.68,7.64,42.37,37.48
20020727,23.53,35.23,6.16,38.52,38.35
20020728,22.77,35.41,5.81,36.78,38.72
20020729,23.06,35.81,5.32,35.44,39.19
20020730,20.01,36.49,4.66,31.97,39.61
20020731,22.72,36.76,3.77,31.59,40.52
20020801,23.05,37.33,1.89,26.06,42.03
